"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","PEOPLE_HOUSE","COMPUTER","CAR","MOBILE","UNIVERSITY","OVERALL_SCORE"
"2995",1,"Unknown","Unknown","0","0","0","0",0,0,0,"2",166
"2996",0,"Complete Professional Education","Complete Technical Education","Independent","Technical or professional level employee","3","3",1,0,1,"2",141
"2997",1,"Complete Secondary Education","Complete Technical Education","Auxiliary or Administrative","Home","2","5",1,0,1,"4",340
"2999",1,"Postgraduate Education","Complete Professional Education","Independent professional","Technical or professional level employee","3","5",1,0,1,"4",268
"3000",1,"Incomplete Primary Education","Unknown","0","Home","3","4",0,0,1,"4",359
"3001",1,"Complete Professional Education","Complete Professional Education","Independent professional","Independent professional","4","5",1,1,1,"4",344
"3002",0,"Incomplete Professional Education","Complete Professional Education","Technical or professional level employee","Technical or professional level employee","2","4",1,0,1,"4",306
"3003",1,"Complete Secondary Education","Complete Technical Education","Small entrepreneur ","Technical or professional level employee","4","8",1,1,1,"1",375
"3004",1,"Incomplete Secondary Education","Complete Secondary Education","Retired","Home","2","4",0,0,0,"4",224
"3005",1,"Complete Technical Education","Incomplete Secondary Education","Technical or professional level employee","Independent professional","1","4",1,0,1,"4",340
"3006",1,"Complete Secondary Education","Complete Secondary Education","Small entrepreneur ","Home","2","4",1,0,1,"2",123
"3007",1,"Incomplete Secondary Education","Incomplete Technical Education","Other occupation","Other occupation","2","4",1,0,1,"4",291
"3008",0,"Complete Secondary Education","Complete Secondary Education","Independent","Independent","4","3",1,0,0,"2",198
"3009",1,"Complete Primary Education","Complete Primary Education","Retired","Home","2","3",1,0,1,"2",178
"3010",1,"Complete Technical Education","Complete Technical Education","Small entrepreneur ","Small entrepreneur ","3","5",1,1,1,"4",376
"3011",1,"Complete Secondary Education","Complete Technical Education","Operator","Auxiliary or Administrative","2","5",1,1,1,"2",178
"3012",1,"Complete Secondary Education","Complete Secondary Education","Operator","Independent professional","2","5",1,0,1,"4",360
"3013",1,"Complete Technical Education","Complete Secondary Education","Technical or professional level employee","Home","2","5",1,0,1,"4",368
"3014",1,"Complete Secondary Education","Complete Secondary Education","Technical or professional level employee","Retired","2","5",1,0,0,"2",291
"3015",0,"Incomplete Primary Education","Complete Primary Education","Independent","Home","1","4",0,0,0,"4",353
"3016",1,"Complete Primary Education","Incomplete Secondary Education","Technical or professional level employee","Home","1","5",1,0,0,"2",147
"3017",0,"Complete Secondary Education","Complete Technical Education","Independent","Auxiliary or Administrative","2","5",1,0,1,"2",157
"3018",1,"Incomplete Secondary Education","Complete Secondary Education","Independent","Home","2","6",1,0,1,"2",245
"3019",1,"Complete Professional Education","Complete Professional Education","Independent","Small entrepreneur ","2","6",1,0,0,"2",207
"3020",0,"Complete Professional Education","Complete Professional Education","Executive","Other occupation","2","4",1,0,1,"2",245
"3021",1,"Complete Professional Education","Complete Professional Education","Independent professional","Other occupation","3","4",1,1,1,"4",196
"3022",1,"Complete Professional Education","Complete Professional Education","Independent professional","Entrepreneur ","3","3",1,1,1,"4",289
"3023",1,"Postgraduate Education","Postgraduate Education","Independent professional","Executive","3","5",1,1,1,"4",282
"3024",1,"Unknown","Unknown","0","0","0","0",0,0,0,"2",96
"3025",0,"Complete Technical Education","Complete Professional Education","Technical or professional level employee","Technical or professional level employee","2","5",1,0,1,"2",285
"3026",1,"Complete Secondary Education","Complete Technical Education","Operator","Home","1","4",1,0,0,"2",242
"3027",0,"Unknown","Unknown","Other occupation","Home","3","4",1,0,1,"2",112
"3028",1,"Complete Professional Education","Incomplete Technical Education","Independent professional","Other occupation","3","4",1,0,1,"2",246
"3029",1,"Incomplete Technical Education","Complete Secondary Education","Other occupation","Other occupation","2","4",1,0,1,"4",230
"3030",1,"Complete Professional Education","Complete Professional Education","Operator","Operator","1","4",1,0,0,"2",227
"3031",0,"Complete Primary Education","Incomplete Secondary Education","Independent","Home","1","7",0,0,0,"4",263
"3032",1,"Postgraduate Education","Postgraduate Education","Entrepreneur ","Small entrepreneur ","5","4",1,1,1,"4",355
"3033",1,"Postgraduate Education","Postgraduate Education","Entrepreneur ","Executive","5","4",1,1,1,"4",440
"3034",0,"Complete Primary Education","Complete Primary Education","Independent professional","Home","1","5",1,0,1,"4",332
"3035",1,"Incomplete Technical Education","Incomplete Secondary Education","Operator","Home","1","6",0,0,0,"2",229
"3036",1,"Complete Technical Education","Complete Secondary Education","Retired","Other occupation","3","7",1,1,1,"2",388
"3037",1,"Incomplete Primary Education","Incomplete Primary Education","Independent","Home","1","4",0,0,0,"3",173
"3038",0,"Complete Technical Education","Incomplete Technical Education","Auxiliary or Administrative","Other occupation","1","5",1,0,0,"2",155
"3039",1,"Complete Primary Education","Complete Secondary Education","Independent","Home","1","5",0,0,0,"2",153
"3040",0,"Incomplete Primary Education","Incomplete Primary Education","Independent","Home","1","5",0,0,0,"4",238
"3041",1,"Complete Technical Education","Complete Secondary Education","Technical or professional level employee","Home","1","5",1,0,0,"4",280
"3042",0,"Unknown","Incomplete Primary Education","0","0","2","4",0,0,0,"2",160
"3043",1,"Unknown","Complete Secondary Education","Other occupation","Independent","1","4",0,0,0,"2",241
"3044",1,"Complete Secondary Education","Complete Primary Education","Small entrepreneur ","Home","1","4",0,1,0,"3",363
"3045",0,"Complete Secondary Education","Complete Secondary Education","Other occupation","Other occupation","1","4",1,0,0,"2",216
"3046",1,"Incomplete Primary Education","Incomplete Secondary Education","Independent","Independent professional","1","4",1,0,0,"2",203
"3047",1,"Complete Secondary Education","Complete Secondary Education","Other occupation","Other occupation","1","5",0,0,0,"4",299
"3048",1,"Complete Secondary Education","Complete Secondary Education","Other occupation","Other occupation","1","6",0,0,0,"3",243
"3049",1,"Complete Secondary Education","Complete Secondary Education","Other occupation","Other occupation","1","5",0,0,0,"3",395
"3050",1,"Complete Professional Education","Complete Professional Education","Small entrepreneur ","Small entrepreneur ","1","4",1,1,0,"2",273
"3051",1,"Complete Professional Education","Complete Secondary Education","Technical or professional level employee","Home","1","5",1,0,0,"3",205
"3052",1,"Complete Primary Education","Incomplete Secondary Education","Other occupation","Home","1","5",0,0,0,"1",203
"3053",1,"Complete Secondary Education","Complete Secondary Education","Independent","Home","1","5",1,0,0,"2",159
"3054",0,"Complete Technical Education","Incomplete Professional Education","Independent","Technical or professional level employee","2","4",1,0,0,"4",220
"3055",1,"Incomplete Primary Education","Incomplete Primary Education","0","0","2","4",0,0,0,"4",390
"3056",1,"Complete Secondary Education","Complete Secondary Education","Technical or professional level employee","Independent","1","5",0,0,0,"4",292
"3057",1,"Complete Primary Education","Complete Secondary Education","Independent","Home","1","4",0,0,0,"3",213
"3058",1,"Incomplete Secondary Education","Complete Professional Education","Operator","Operator","1","5",0,0,1,"4",262
"3059",1,"Complete Secondary Education","Incomplete Secondary Education","Small entrepreneur ","Home","1","3",0,1,0,"3",143
"3060",1,"Unknown","Unknown","0","Home","1","5",0,0,0,"2",453
"3061",0,"Incomplete Primary Education","Incomplete Primary Education","Independent","Home","1","8",0,0,0,"2",166
"3062",0,"Incomplete Secondary Education","Complete Secondary Education","Other occupation","Technical or professional level employee","2","2",0,0,0,"5",21
"3063",1,"Complete Technical Education","Complete Technical Education","Independent professional","Independent professional","1","3",1,0,0,"3",354
"3064",0,"Complete Professional Education","Complete Primary Education","Technical or professional level employee","Home","1","3",0,0,0,"4",275
"3065",1,"Complete Primary Education","Complete Primary Education","Independent","Home","1","4",0,0,0,"2",218
"3066",1,"Complete Professional Education","Complete Professional Education","Executive","Home","1","5",1,0,0,"4",307
"3067",0,"Incomplete Professional Education","Complete Professional Education","Operator","Technical or professional level employee","2","6",0,0,0,"3",263
"3069",0,"Incomplete Technical Education","Complete Professional Education","Independent","Technical or professional level employee","1","3",0,0,0,"3",103
"3070",1,"Complete Primary Education","Complete Technical Education","Other occupation","Independent","1","10",0,0,0,"3",244
"3071",1,"Incomplete Primary Education","Incomplete Primary Education","Auxiliary or Administrative","Home","2","10",0,0,0,"3",338
"3072",0,"Incomplete Secondary Education","Incomplete Secondary Education","Small entrepreneur ","Small entrepreneur ","1","3",1,1,1,"2",189
"3073",0,"Complete Technical Education","Complete Professional Education","Small entrepreneur ","Technical or professional level employee","3","4",1,1,1,"3",202
"3074",0,"Complete Secondary Education","Complete Secondary Education","Independent","Independent","1","5",0,0,0,"2",120
"3075",1,"Incomplete Secondary Education","Complete Primary Education","Independent","Home","1","6",1,0,0,"3",308
"3076",1,"Complete Secondary Education","Complete Technical Education","Independent","Independent","3","4",1,0,1,"4",347
"3077",1,"Complete Technical Education","Complete Secondary Education","Technical or professional level employee","Technical or professional level employee","1","4",0,0,0,"2",58
"3078",0,"Complete Technical Education","Complete Secondary Education","Other occupation","Home","1","5",1,0,1,"4",286
"3079",1,"Unknown","Incomplete Primary Education","0","0","4","4",0,1,1,"2",300
"3080",1,"Unknown","Unknown","Retired","Other occupation","2","1",1,0,0,"3",311
"3081",1,"Postgraduate Education","Postgraduate Education","Executive","Small entrepreneur ","5","3",1,1,0,"4",228
"3082",1,"Postgraduate Education","Complete Professional Education","Technical or professional level employee","Independent professional","3","5",1,1,0,"5",406
"3083",1,"Complete Professional Education","Postgraduate Education","Independent professional","Executive","4","4",1,1,1,"3",270
"3084",0,"Unknown","Unknown","Independent professional","Home","2","3",0,0,0,"2",220
"3085",1,"Complete Technical Education","Complete Technical Education","Small entrepreneur ","Executive","3","6",1,0,1,"2",355
"3086",1,"Postgraduate Education","Postgraduate Education","Technical or professional level employee","Technical or professional level employee","5","5",1,1,1,"5",396
"3087",0,"Unknown","Incomplete Primary Education","0","Home","2","5",0,1,1,"3",435
"3088",1,"Complete Technical Education","Postgraduate Education","Technical or professional level employee","Technical or professional level employee","4","4",1,1,1,"4",342
"3089",1,"Unknown","Complete Primary Education","0","0","2","4",0,0,1,"3",379
"3090",0,"Complete Professional Education","Incomplete Secondary Education","Executive","Small entrepreneur ","3","2",1,0,0,"4",391
"3091",1,"Incomplete Secondary Education","Incomplete Secondary Education","Other occupation","Other occupation","4","5",1,1,1,"3",237
"3092",0,"Incomplete Primary Education","Complete Primary Education","Independent professional","0","5","4",0,1,0,"5",386
"3093",0,"Postgraduate Education","Complete Professional Education","Independent professional","Independent professional","5","3",1,1,0,"3",328
"3094",0,"Complete Professional Education","Complete Professional Education","Independent professional","Independent professional","4","5",1,1,0,"3",300
"3095",0,"Complete Secondary Education","Complete Secondary Education","Small entrepreneur ","Small entrepreneur ","3","5",1,1,1,"2",300
"3096",1,"Postgraduate Education","Postgraduate Education","Technical or professional level employee","Technical or professional level employee","2","4",1,0,0,"3",395
"3097",1,"Complete Secondary Education","Unknown","Operator","Technical or professional level employee","3","5",1,0,1,"3",346
"3098",1,"Incomplete Secondary Education","Incomplete Secondary Education","Small entrepreneur ","Home","2","3",0,1,0,"3",290
"3099",0,"Unknown","Unknown","0","0","4","3",0,0,0,"4",337
"3100",0,"Postgraduate Education","Complete Professional Education","Executive","Independent professional","3","4",1,0,0,"2",310
"3101",1,"Complete Primary Education","Incomplete Primary Education","Operator","Home","1","3",0,0,0,"4",289
"3102",1,"Unknown","Unknown","0","Home","2","3",0,0,0,"3",261
"3103",1,"Incomplete Secondary Education","Incomplete Secondary Education","Other occupation","Home","2","4",1,1,1,"3",318
"3104",1,"Complete Primary Education","Complete Secondary Education","Small entrepreneur ","Executive","2","4",1,1,0,"2",190
"3105",1,"Incomplete Secondary Education","Incomplete Secondary Education","Home","Operator","3","5",1,0,1,"4",366
"3106",1,"Complete Primary Education","Incomplete Primary Education","Independent","Independent","2","4",1,0,0,"3",233
"3107",0,"Complete Primary Education","Incomplete Primary Education","Operator","Home","1","2",0,0,0,"3",344
"3108",0,"Complete Primary Education","Incomplete Primary Education","Operator","Home","1","2",0,0,0,"3",316
"3109",1,"Complete Secondary Education","Complete Secondary Education","Independent professional","Independent professional","2","4",1,1,0,"2",363
"3110",0,"Incomplete Professional Education","Complete Professional Education","Retired","Technical or professional level employee","4","5",1,0,1,"4",405
"3111",0,"Complete Professional Education","Complete Professional Education","Auxiliary or Administrative","Technical or professional level employee","3","5",0,0,0,"2",348
"3112",1,"Incomplete Secondary Education","Complete Technical Education","Other occupation","Executive","3","7",1,0,0,"3",204
"3113",0,"Incomplete Secondary Education","Incomplete Secondary Education","Other occupation","Home","2","9",1,0,0,"3",168
"3115",1,"Complete Secondary Education","Complete Secondary Education","Auxiliary or Administrative","Auxiliary or Administrative","3","7",1,0,1,"2",322
"3116",1,"Incomplete Professional Education","Complete Professional Education","Small entrepreneur ","Independent professional","2","4",0,0,0,"3",397
"3117",1,"Complete Primary Education","Complete Primary Education","Independent","Home","2","6",1,0,0,"4",325
"3118",1,"Unknown","Unknown","0","Home","1","5",0,0,0,"4",335
"3119",1,"Complete Secondary Education","Complete Secondary Education","Independent","Independent","4","3",1,1,0,"5",334
"3120",1,"Complete Primary Education","Complete Primary Education","Independent","Home","1","6",0,0,0,"4",403
"3121",1,"Complete Professional Education","Postgraduate Education","Independent professional","Technical or professional level employee","3","4",1,1,1,"2",220
"3122",1,"Unknown","Unknown","0","Home","2","1",0,0,0,"4",255
"3123",1,"Unknown","Incomplete Secondary Education","Other occupation","Home","3","3",0,0,0,"4",225
"3124",1,"Postgraduate Education","Postgraduate Education","0","Home","3","5",0,0,0,"4",391
"3125",1,"Unknown","Unknown","0","0","2","4",0,0,1,"2",312
"3126",1,"Unknown","Unknown","0","0","3","4",0,1,0,"3",316
"3127",0,"Complete Professional Education","Complete Professional Education","Technical or professional level employee","Technical or professional level employee","2","5",0,0,0,"5",443
"3128",1,"Complete Professional Education","Complete Secondary Education","Executive","Home","3","5",1,1,0,"3",326
"3129",1,"Complete Primary Education","Complete Primary Education","0","0","3","7",0,0,0,"3",295
"3130",0,"Complete Professional Education","Complete Professional Education","Small entrepreneur ","Retired","2","4",1,0,0,"3",256
"3131",1,"Complete Secondary Education","Complete Secondary Education","Independent","Home","1","7",0,0,0,"3",253
"3132",0,"Complete Primary Education","Complete Primary Education","Independent","Independent","2","4",1,1,0,"4",80
"3133",0,"Complete Professional Education","Complete Secondary Education","Technical or professional level employee","Home","1","5",1,0,0,"0",384
"3134",0,"Complete Secondary Education","Complete Secondary Education","Small entrepreneur ","Home","2","4",1,1,0,"4",375
"3135",1,"Complete Primary Education","Complete Primary Education","Independent","Home","1","5",0,1,0,"4",232
"3136",0,"Unknown","Unknown","0","Home","2","5",0,0,0,"3",260
"3137",0,"Unknown","Unknown","0","Home","2","4",0,0,0,"3",115
"3138",0,"Incomplete Secondary Education","Complete Secondary Education","Operator","Home","1","3",1,0,0,"2",351
"3139",0,"Complete Primary Education","Complete Primary Education","Independent","Independent","1","8",0,0,1,"3",118
"3140",1,"Complete Secondary Education","Complete Secondary Education","Independent","Home","1","4",0,0,0,"4",424
"3141",1,"Incomplete Primary Education","Unknown","0","0","2","5",0,0,1,"2",183
"3142",1,"Incomplete Primary Education","Incomplete Primary Education","Entrepreneur ","Entrepreneur ","2","4",1,0,0,"2",185
"3143",1,"Incomplete Primary Education","Complete Primary Education","Independent","Home","2","4",1,1,0,"4",165
"3144",0,"Incomplete Secondary Education","Complete Secondary Education","Operator","Operator","2","3",1,0,0,"4",395
"3145",1,"Incomplete Professional Education","Complete Professional Education","Independent professional","Independent professional","2","2",0,0,0,"2",164
"3146",1,"Complete Secondary Education","Complete Technical Education","Independent","Operator","3","5",1,1,1,"2",344
"3147",0,"Incomplete Secondary Education","Complete Primary Education","Independent","Independent","1","4",1,0,0,"2",332
"3148",0,"Complete Primary Education","Incomplete Secondary Education","Operator","Home","1","6",0,0,0,"3",186
"3149",0,"Unknown","Complete Professional Education","Other occupation","Executive","1","3",1,0,0,"2",352
"3150",0,"Complete Secondary Education","Complete Secondary Education","Independent","Home","3","4",1,1,0,"4",320
"3151",0,"Unknown","Unknown","0","0","2","4",0,0,0,"4",253
